# see info at bottom of page,,Cost,,,,,,Benefit,,,,,,,,,,,,
Name,Type,C,F,R,W,G,Net,C,F,R,W,G,I,Special benefits,Plot,Quest,VP,Net,Profit,Notes
Lure Artisans of Mirabar,C,1,1,1,,2,10,,,,,,,choose free building,,,4,10,0,a good deal esp. if you wait until an 8-cost building is up
Train Bladesingers,W,,3,,1,,10,,1,,1,,,,,,4,10,0,
Spy on the House of Light,C,,3,2,,,10,,,,,6,,,,,6,12,2,both quests that give 6 gold are slightly over-valued
Convert a Noble to Lathander,P,2,,,1,,12,,,,,,,,,1,8,10,-2,one of only 2 quests that shortchange you.
Discover Hidden Temple of Lolth,P,2,1,1,,,12,,,,,,,,,1,10,12,0,
Form an Alliance with the Rashemi,P,2,,,1,,12,,,,,,,,,1,10,12,0,
Research Chronomancy,A,,,,2,4,12,,,,1,,,free agent placement,,,4,12,0,
Safeguard Eltorchul Mage,C,,1,1,1,4,12,,,,2,,,,,,4,12,0,
Expose Cult Corruption,S,1,,4,,,12,2,,,,,,,,,4,12,0,
Produce a Miracle for the Masses,P,2,,,,4,12,,,,,,,"when you get C, trade adv.->C",,,5,12,0,breakeven: ?
Explore Ahghairon's Tower,A,,1,,2,2,12,,,,,,,"when you get W, +1 I",,,6,12,0,breakeven: get W 3x
Fence Goods for Duke of Darkness,S,,1,3,,4,12,,,,,,,"when you get R, +2 G",,,6,12,0,breakeven: get R 3x
Bolster Griffon Cavalry,W,,4,,,4,12,,,,,,,"when you get F, +1 F",,,6,12,0,breakeven: get F 3x
Loot the Crypt of Chauntea,C,1,,3,,2,12,,,,,,1,,,1,7,10,-2,one of only 2 quests that shortchange you.
Domesticate Owlbears,A,1,,,2,,12,,1,,,2,,,,,8,12,0,
Study the Illusk Arch,A,1,,,2,,12,,,,,,,,1,,8,12,0,breakeven: complete 2 future AQ
Establish New Merchant Guild,C,1,2,,,4,12,,,,,,,,1,,8,12,0,breakeven: complete 2 future CQ
Protect the House of Wonder,P,2,1,,,2,12,,,,,,,,1,,8,12,0,breakeven: complete 2 future PQ
Install a Spy in Castle Waterdeep,S,,,4,,4,12,,,,,,,,1,,8,12,0,breakeven: complete 2 future SQ
Quell Mercenary Uprising,W,1,4,,,,12,,,,,,,,1,,8,12,0,breakeven: complete 2 future WQ
Infiltrate Builder's Hall,C,,2,2,,4,12,,,,,,,+4 per future building,,,6,12,0,breakeven: build 1.5 future buildings
Establish Harpers Safe House,S,,2,3,,2,12,,,,,,,+2 per existing building,,,8,12,0,breakeven: have 2 buildings when you complete it
Procure Stolen Goods,S,,,3,,6,12,,,,,,2,,,,8,12,0,
Ambush Artor Morlin,W,1,3,1,,,12,,,,,4,,,,,8,12,0,
Raid Orc Stronghold,W,,4,2,,,12,,,,,4,,,,,8,12,0,
