,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,100,DQNAgent,0.01,33.14,9.520525195597141,58.0,0.0,0.256140350877193,0.2631578947368421,0.3894736842105263,0.37894736842105264,0.15,1.87,5.7,0.95
1,0,1,100,RandomAgent,0.31,49.66,11.790012722639446,59.70967741935484,10.141557901532451,0.23728813559322035,0.311284046692607,0.3855932203389831,0.40077821011673154,1.49,2.37,4.72,2.57
2,0,2,100,RandomAgent,0.4,51.36,12.684257960164638,60.6,11.026785569693464,0.273542600896861,0.3281853281853282,0.4349775784753363,0.46332046332046334,1.73,2.42,4.46,2.59
3,0,3,100,RandomAgent,0.28,48.88,13.024807100299029,62.857142857142854,9.070022388199986,0.2505643340857788,0.3237704918032787,0.40857787810383744,0.4016393442622951,1.76,2.74,4.43,2.44
4,500,0,100,DQNAgent,0.26,50.75,12.746273965359446,65.6923076923077,8.62808130364153,0.26666666666666666,0.36507936507936506,0.41944444444444445,0.4126984126984127,1.91,0.69,3.6,2.52
5,500,1,100,RandomAgent,0.17,46.55,13.266781825295839,63.529411764705884,10.738154332915347,0.25140712945590993,0.2782258064516129,0.3902439024390244,0.3709677419354839,1.15,2.31,5.33,2.48
6,500,2,100,RandomAgent,0.28,49.63,12.175922962962604,60.82142857142857,6.724441407648516,0.26458333333333334,0.3252032520325203,0.39375,0.43089430894308944,1.33,2.23,4.8,2.46
7,500,3,100,RandomAgent,0.29,50.53,11.244958870533942,60.793103448275865,7.958423472127645,0.26476578411405294,0.34317343173431736,0.3788187372708758,0.41697416974169743,1.37,2.28,4.91,2.71
8,1000,0,100,DQNAgent,0.35,56.9,13.05181979648815,66.51428571428572,12.1851699761201,0.25,0.3345323741007194,0.4222222222222222,0.4064748201438849,2.21,1.92,3.6,2.78
9,1000,1,100,RandomAgent,0.19,49.17,13.947082132116382,66.73684210526316,9.888015634372529,0.28361344537815125,0.3233082706766917,0.4096638655462185,0.36466165413533835,1.31,2.08,4.76,2.66
