,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,100,DQNAgent,0.3,53.13,10.931289951327795,63.766666666666666,6.463659094420812,0.23404255319148937,0.29015544041450775,0.39148936170212767,0.42487046632124353,0.94,5.34,2.35,1.93
1,0,1,100,RandomAgent,0.21,49.59,13.431377442392124,67.52380952380952,11.069559494048995,0.2691588785046729,0.3088235294117647,0.4205607476635514,0.35294117647058826,1.5,2.36,5.35,2.72
2,0,2,100,RandomAgent,0.26,49.33,11.921455448056667,61.15384615384615,8.645551580447458,0.24015748031496062,0.33984375,0.3937007874015748,0.38671875,1.5,2.2,5.08,2.56
3,0,3,100,RandomAgent,0.23,48.58,11.159014293386312,60.52173913043478,7.851167541075278,0.3093385214007782,0.4044943820224719,0.3968871595330739,0.38202247191011235,1.4,2.32,5.14,2.67
4,500,0,100,DQNAgent,0.33,52.44,13.481335245442121,63.45454545454545,11.734669971449685,0.28865979381443296,0.34375,0.3556701030927835,0.39732142857142855,0.41,1.15,1.94,2.24
5,500,1,100,RandomAgent,0.21,49.25,12.407558180399558,66.33333333333333,9.099101647616141,0.23954372623574144,0.35714285714285715,0.3821292775665399,0.36466165413533835,1.55,2.56,5.26,2.66
6,500,2,100,RandomAgent,0.19,47.36,11.063019479328418,59.94736842105263,8.01625771863869,0.30097087378640774,0.384297520661157,0.39611650485436894,0.40082644628099173,1.57,2.63,5.15,2.42
7,500,3,100,RandomAgent,0.27,50.29,12.855578555631014,62.44444444444444,10.4538964323014,0.2468916518650089,0.35658914728682173,0.40319715808170514,0.4496124031007752,1.61,2.64,5.63,2.58
8,1000,0,100,DQNAgent,0.53,59.13,11.487084051229015,65.69811320754717,10.035004593657705,0.25448028673835127,0.2898550724637681,0.3763440860215054,0.40942028985507245,0.26,2.05,2.79,2.76
9,1000,1,100,RandomAgent,0.12,46.46,11.192336663985765,62.25,9.373055353867631,0.272552783109405,0.3625,0.3838771593090211,0.375,1.56,2.41,5.21,2.4
10,1000,2,100,RandomAgent,0.23,50.48,12.218412335487784,64.78260869565217,5.941428036065949,0.2774674115456238,0.31417624521072796,0.38361266294227186,0.421455938697318,1.59,2.37,5.37,2.61
11,1000,3,100,RandomAgent,0.12,48.82,11.371349963834549,61.916666666666664,6.800224669491117,0.24649298597194388,0.3425196850393701,0.37675350701402804,0.3700787401574803,1.68,2.67,4.99,2.54
