,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,100,PPO,0.26,49.97,13.031082073258537,64.23076923076923,8.771929409322112,0.2795031055900621,0.3655913978494624,0.40165631469979296,0.36917562724014336,1.08,1.69,4.83,2.79
1,0,1,100,RandomAgent,0.21,47.44,11.996099366043948,59.476190476190474,5.8196632828389285,0.2622601279317697,0.3709677419354839,0.3880597014925373,0.4153225806451613,1.34,2.05,4.69,2.48
2,0,2,100,RandomAgent,0.36,52.28,12.038338755825073,62.02777777777778,9.278068857709295,0.23255813953488372,0.28044280442804426,0.4186046511627907,0.45018450184501846,1.5,2.73,4.73,2.71
3,0,3,100,RandomAgent,0.17,49.83,11.315524733745228,64.29411764705883,8.448910169068121,0.28077753779697623,0.32941176470588235,0.4146868250539957,0.43137254901960786,1.45,2.39,4.63,2.55
4,500,0,100,PPO,0.3,48.78,12.066134426567606,60.3,9.550392662084633,0.22884012539184953,0.3056768558951965,0.4200626959247649,0.4192139737991266,1.3,0.88,3.19,2.29
5,500,1,100,RandomAgent,0.22,48.39,11.645509864321097,61.5,7.655954307833634,0.2668067226890756,0.35177865612648224,0.39705882352941174,0.3557312252964427,1.31,2.46,4.76,2.53
6,500,2,100,RandomAgent,0.29,49.66,13.651534712258545,63.48275862068966,9.629769538027851,0.27058823529411763,0.3613138686131387,0.4176470588235294,0.4124087591240876,1.33,2.55,5.1,2.74
7,500,3,100,RandomAgent,0.19,50.09,11.329691081401997,63.63157894736842,9.729015346487452,0.29636711281070743,0.34814814814814815,0.4130019120458891,0.4,1.5,2.49,5.23,2.7
8,1000,0,100,PPO,0.23,50.49,9.884831814451879,59.17391304347826,6.663672925797288,0.22758620689655173,0.24107142857142858,0.4068965517241379,0.4017857142857143,0.87,0.34,1.45,2.24
9,1000,1,100,RandomAgent,0.31,50.02,13.07438717493099,63.58064516129032,10.47200320839667,0.27137546468401486,0.35424354243542433,0.38847583643122674,0.3948339483394834,1.45,2.39,5.38,2.71
10,1000,2,100,RandomAgent,0.28,49.38,12.935053150258023,62.964285714285715,9.544939357949781,0.2761904761904762,0.32677165354330706,0.4076190476190476,0.41338582677165353,1.66,2.36,5.25,2.54
11,1000,3,100,RandomAgent,0.18,48.14,11.140035906584862,61.833333333333336,6.759766596891081,0.31688804554079697,0.3254901960784314,0.4117647058823529,0.37254901960784315,1.48,2.35,5.27,2.55
12,1500,0,100,PPO,0.36,53.19,9.80988786888005,61.833333333333336,8.798674142543675,0.2684563758389262,0.2880658436213992,0.33557046979865773,0.35390946502057613,0.61,0.35,1.49,2.43
13,1500,1,100,RandomAgent,0.14,46.38,11.111957523316944,57.642857142857146,8.129374803382948,0.25788497217068646,0.3125,0.38589981447124305,0.4166666666666667,1.37,2.39,5.39,2.4
14,1500,2,100,RandomAgent,0.29,49.37,12.563960362879216,62.62068965517241,9.567955833652272,0.26142595978062155,0.32421875,0.40219378427787933,0.42578125,1.69,2.62,5.47,2.56
15,1500,3,100,RandomAgent,0.21,47.01,12.114037312143298,62.333333333333336,8.201819387784717,0.3013698630136986,0.3739495798319328,0.41291585127201563,0.4327731092436975,1.58,2.39,5.11,2.38
16,2000,0,100,PPO,0.43,54.34,10.60963712857325,63.116279069767444,8.578527282740595,0.28,0.3089430894308943,0.38,0.34959349593495936,0.37,0.2,1.5,2.46
17,2000,1,100,RandomAgent,0.21,48.77,13.508408492490892,62.61904761904762,10.647942749998998,0.272,0.3413654618473896,0.366,0.43373493975903615,1.54,2.46,5.0,2.49
18,2000,2,100,RandomAgent,0.24,48.54,12.76434095439322,62.333333333333336,9.94847838728226,0.23452157598499063,0.3269230769230769,0.38649155722326456,0.36153846153846153,1.7,2.58,5.33,2.6
19,2000,3,100,RandomAgent,0.12,46.95,11.566654658975516,65.66666666666667,8.806563209081938,0.2862190812720848,0.39453125,0.39045936395759717,0.390625,1.67,2.62,5.66,2.56
20,2500,0,100,PPO,0.38,55.12,11.431780263808433,64.07894736842105,10.476493936797569,0.2803738317757009,0.3348623853211009,0.4766355140186916,0.38990825688073394,0.2,0.08,1.07,2.18
21,2500,1,100,RandomAgent,0.17,46.05,12.920042569589313,65.3529411764706,9.184008970011172,0.26582278481012656,0.3291139240506329,0.4159132007233273,0.4219409282700422,1.53,2.29,5.53,2.37
22,2500,2,100,RandomAgent,0.25,48.69,13.466770214123354,63.92,9.582984921202787,0.2574626865671642,0.3206751054852321,0.41044776119402987,0.4008438818565401,1.64,2.73,5.36,2.37
23,2500,3,100,RandomAgent,0.2,49.73,11.68662055514767,61.65,9.424834216048577,0.2787193973634652,0.3373015873015873,0.416195856873823,0.4087301587301587,1.79,2.51,5.31,2.52
24,3000,0,100,PPO,0.42,53.47,9.216783603839248,59.642857142857146,6.978952809191732,0.22988505747126436,0.2669902912621359,0.3563218390804598,0.39805825242718446,0.18,0.11,0.87,2.06
25,3000,1,100,RandomAgent,0.22,47.87,13.208826594364846,63.63636363636363,9.315409787235998,0.27717391304347827,0.3112033195020747,0.41847826086956524,0.4107883817427386,1.5,2.54,5.52,2.41
26,3000,2,100,RandomAgent,0.14,46.04,11.216880136651188,59.42857142857143,7.556589231678968,0.30337078651685395,0.38461538461538464,0.4044943820224719,0.3333333333333333,1.62,2.46,5.34,2.34
27,3000,3,100,RandomAgent,0.22,47.87,12.698547160994442,61.54545454545455,8.370550501757894,0.2478031634446397,0.3252032520325203,0.421792618629174,0.4105691056910569,1.82,2.77,5.69,2.46
28,3500,0,100,PPO,0.33,53.73,9.592554404328391,61.63636363636363,7.0959577986266105,0.19387755102040816,0.2757009345794392,0.35714285714285715,0.4532710280373832,0.11,0.06,0.98,2.14
29,3500,1,100,RandomAgent,0.2,48.39,12.3465744237015,63.25,9.486174149782409,0.2541436464088398,0.2757201646090535,0.3738489871086556,0.39094650205761317,1.84,2.74,5.43,2.43
30,3500,2,100,RandomAgent,0.22,49.0,11.615506876585282,63.59090909090909,8.216718494016778,0.3107344632768362,0.38671875,0.4199623352165725,0.4140625,1.48,2.68,5.31,2.56
31,3500,3,100,RandomAgent,0.25,49.39,13.4513159207566,65.32,8.322115115762339,0.311787072243346,0.32270916334661354,0.41064638783269963,0.398406374501992,1.57,2.51,5.26,2.51
32,4000,0,100,PPO,0.43,56.59,10.750902287715205,61.97674418604651,11.8429419115609,0.2882882882882883,0.2833333333333333,0.35135135135135137,0.36666666666666664,0.11,0.1,1.11,2.4
33,4000,1,100,RandomAgent,0.21,50.5,11.978731151503485,65.42857142857143,10.358210125634772,0.2885662431941924,0.326007326007326,0.4319419237749546,0.4065934065934066,1.67,2.33,5.51,2.73
34,4000,2,100,RandomAgent,0.12,45.94,11.252395300557122,63.0,6.708203932499369,0.27303754266211605,0.3565217391304348,0.3924914675767918,0.4043478260869565,1.51,2.78,5.86,2.3
35,4000,3,100,RandomAgent,0.24,46.68,13.972744898551609,62.666666666666664,8.586164581594172,0.28804347826086957,0.3347457627118644,0.3967391304347826,0.3771186440677966,1.64,2.72,5.52,2.36
36,4500,0,100,PPO,0.48,55.83,10.101539486632719,61.979166666666664,9.709294480319132,0.2764227642276423,0.29880478087649404,0.43089430894308944,0.3904382470119522,0.09,0.05,1.23,2.51
37,4500,1,100,RandomAgent,0.15,45.83,12.365318435042424,63.8,7.782030583337488,0.26258992805755393,0.33760683760683763,0.38489208633093525,0.41025641025641024,1.51,2.32,5.56,2.34
38,4500,2,100,RandomAgent,0.22,48.83,12.526016924784988,64.31818181818181,7.730614250770432,0.28597122302158273,0.3481781376518219,0.3723021582733813,0.4331983805668016,1.94,2.65,5.56,2.47
39,4500,3,100,RandomAgent,0.15,47.4,11.762652762026091,63.733333333333334,8.559335384375483,0.2822429906542056,0.41702127659574467,0.37009345794392523,0.3829787234042553,1.58,2.46,5.35,2.35
40,5000,0,1500,PPO,0.39266666666666666,55.24,9.982437911986564,62.421052631578945,8.718925315328475,0.2668269230769231,0.29064327485380115,0.38521634615384615,0.4026315789473684,0.064,0.042666666666666665,1.1093333333333333,2.28
41,5000,1,1500,RandomAgent,0.19666666666666666,48.09866666666667,12.122084455882806,62.342372881355935,8.683204192428056,0.2844638949671772,0.34035656401944897,0.40578653051300756,0.40437601296596437,1.6306666666666667,2.5873333333333335,5.484,2.468
42,5000,2,1500,RandomAgent,0.20466666666666666,47.87533333333333,12.785348055054618,63.0228013029316,9.247033222772599,0.2672766674692993,0.34214110596567693,0.39886828798458945,0.41024244075183874,1.6686666666666667,2.588,5.537333333333334,2.4473333333333334
43,5000,3,1500,RandomAgent,0.206,48.47666666666667,12.553145245537292,63.080906148867314,9.247229506605006,0.279055616405014,0.340053050397878,0.39759036144578314,0.3952254641909814,1.6526666666666667,2.6206666666666667,5.478,2.513333333333333
