,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,100,PolicyAgent,0.26,49.97,13.031082073258537,64.23076923076923,8.771929409322112,0.2795031055900621,0.3655913978494624,0.40165631469979296,0.36917562724014336,1.08,1.69,4.83,2.79
1,0,1,100,RandomAgent,0.21,47.44,11.996099366043948,59.476190476190474,5.8196632828389285,0.2622601279317697,0.3709677419354839,0.3880597014925373,0.4153225806451613,1.34,2.05,4.69,2.48
2,0,2,100,RandomAgent,0.36,52.28,12.038338755825073,62.02777777777778,9.278068857709295,0.23255813953488372,0.28044280442804426,0.4186046511627907,0.45018450184501846,1.5,2.73,4.73,2.71
3,0,3,100,RandomAgent,0.17,49.83,11.315524733745228,64.29411764705883,8.448910169068121,0.28077753779697623,0.32941176470588235,0.4146868250539957,0.43137254901960786,1.45,2.39,4.63,2.55
4,300,0,100,PolicyAgent,0.23,49.12,12.114685303382831,61.30434782608695,9.679358506451155,0.266839378238342,0.3134920634920635,0.37305699481865284,0.4087301587301587,0.8,1.53,3.86,2.52
5,300,1,100,RandomAgent,0.25,48.35,11.859489870985177,62.0,7.884161337770809,0.26476578411405294,0.3493975903614458,0.37474541751527496,0.36947791164658633,1.44,2.57,4.91,2.49
6,300,2,100,RandomAgent,0.27,49.25,10.315401107082556,58.888888888888886,7.563721077830004,0.2857142857142857,0.3409090909090909,0.3795918367346939,0.38257575757575757,1.36,2.35,4.9,2.64
7,300,3,100,RandomAgent,0.25,48.82,12.391432524127305,60.76,9.279137890989658,0.2765151515151515,0.3745173745173745,0.4034090909090909,0.43243243243243246,1.52,2.38,5.28,2.59
8,600,0,100,PolicyAgent,0.27,49.75,11.839235617217861,62.81481481481482,9.18145085378783,0.21676300578034682,0.28846153846153844,0.4161849710982659,0.3769230769230769,0.54,0.76,3.46,2.6
9,600,1,100,RandomAgent,0.25,48.54,13.442038535876915,63.92,11.023320733789797,0.2744721689059501,0.3700787401574803,0.3761996161228407,0.3425196850393701,1.56,2.38,5.21,2.54
10,600,2,100,RandomAgent,0.27,50.22,11.36712804537716,62.074074074074076,8.691954244420849,0.2675521821631879,0.3458646616541353,0.3984819734345351,0.39849624060150374,1.54,2.54,5.27,2.66
11,600,3,100,RandomAgent,0.21,49.41,9.920781219238735,59.23809523809524,6.38379467614053,0.2916666666666667,0.3831417624521073,0.41228070175438597,0.3563218390804598,1.64,2.35,4.56,2.61
12,900,0,100,PolicyAgent,0.38,50.3,10.601414999895061,57.89473684210526,6.361022235310638,0.28019323671497587,0.31390134529147984,0.4396135265700483,0.452914798206278,0.48,0.3,2.07,2.23
